 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Apr/2025 12:20:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:04:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:04:51] "GET /static/favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:04:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:04:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:05:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:05:31] "GET /static/favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:21] "GET /autocomplete?query=ca HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:22] "GET /autocomplete?query=cap HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:22] "GET /autocomplete?query=c HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:22] "GET /autocomplete?query=capi HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:22] "GET /autocomplete?query=capi HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:22] "GET /autocomplete?query=capi HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:23] "GET /autocomplete?query=capit HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:23] "GET /autocomplete?query=capita HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:24] "GET /autocomplete?query=capital HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:24] "GET /autocomplete?query=capital HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:24] "GET /autocomplete?query=capital; HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:27] "GET /autocomplete?query=capita HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:31] "POST /result HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:32] "GET /static/favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:38] "GET /autocomplete?query=c HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:38] "GET /autocomplete?query=ca HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:38] "GET /autocomplete?query=cap HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:38] "GET /autocomplete?query=capi HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:38] "GET /autocomplete?query=capit HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:38] "GET /autocomplete?query=capita HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:38] "GET /autocomplete?query=capital HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:39] "GET /autocomplete?query=capital HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:06:41] "POST /result HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:09:13] "GET /autocomplete?query=k HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:09:13] "GET /autocomplete?query=ko HTTP/1.1" 200 -
127.0.0.1 - - [16/Apr/2025 02:09:16] "GET /autocomplete?query=k HTTP/1.1" 200 -
